timestamp,"battery_soc"
"Nov 5, 2020 @ 14:42:47.146","0.31064179773921613"
"Nov 5, 2020 @ 14:42:42.074","0.31106755164621447"
"Nov 5, 2020 @ 14:42:36.994","0.31052004740716593"
"Nov 5, 2020 @ 14:42:31.853","0.309960708760474"
"Nov 5, 2020 @ 14:42:26.778","0.3093618590458126"
"Nov 5, 2020 @ 14:42:21.723","0.30819802375522254"
"Nov 5, 2020 @ 14:42:16.653","0.30758082768847705"
"Nov 5, 2020 @ 14:42:11.585","0.3070593223247966"
"Nov 5, 2020 @ 14:42:06.510","0.3056825468060949"
"Nov 5, 2020 @ 14:42:01.459","0.3055193530115659"
"Nov 5, 2020 @ 14:41:56.374","0.30506523427983856"
"Nov 5, 2020 @ 14:41:51.327","0.3047052034276177"
"Nov 5, 2020 @ 14:41:46.253","0.303373791607453"
"Nov 5, 2020 @ 14:41:41.178","0.30169714956023785"
"Nov 5, 2020 @ 14:41:36.105","0.300921181283402"
"Nov 5, 2020 @ 14:41:31.035","0.3000487778854455"
"Nov 5, 2020 @ 14:41:25.955","0.29966179186409236"
"Nov 5, 2020 @ 14:41:20.890","0.2996212835457468"
"Nov 5, 2020 @ 14:41:15.822","0.29949927217605926"
"Nov 5, 2020 @ 14:41:10.745","0.29816725690988277"
"Nov 5, 2020 @ 14:41:05.669","0.29748619328745035"
"Nov 5, 2020 @ 14:41:00.595","0.2966313185766868"
"Nov 5, 2020 @ 14:40:55.545","0.29634678014880655"
"Nov 5, 2020 @ 14:40:50.458","0.29587382946668755"
"Nov 5, 2020 @ 14:40:45.388","0.29482225157367764"
"Nov 5, 2020 @ 14:40:40.309","0.2938630069068218"
"Nov 5, 2020 @ 14:40:35.209","0.2940577679021634"
"Nov 5, 2020 @ 14:40:30.096","0.2940247152244976"
"Nov 5, 2020 @ 14:40:24.998","0.2930567709947682"
"Nov 5, 2020 @ 14:40:19.955","0.29238744615077256"
"Nov 5, 2020 @ 14:40:14.910","0.2920077552583728"
"Nov 5, 2020 @ 14:40:09.870","0.2906857585351831"
"Nov 5, 2020 @ 14:40:04.826","0.2901143776181218"
"Nov 5, 2020 @ 14:39:59.771","0.29007862615385244"
"Nov 5, 2020 @ 14:39:54.718","0.2891195870446554"
"Nov 5, 2020 @ 14:39:49.667","0.2875342805665109"
"Nov 5, 2020 @ 14:39:44.611","0.28749852890667904"
"Nov 5, 2020 @ 14:39:39.557","0.286172970730177"
"Nov 5, 2020 @ 14:39:34.513","0.28642893767437616"
"Nov 5, 2020 @ 14:39:29.469","0.285378280839138"
"Nov 5, 2020 @ 14:39:24.398","0.28347530700843815"
"Nov 5, 2020 @ 14:39:19.322","0.2825117114226687"
"Nov 5, 2020 @ 14:39:14.246","0.281936722342994"
"Nov 5, 2020 @ 14:39:09.173","0.28205410130093467"
"Nov 5, 2020 @ 14:39:04.096","0.2820182103348368"
"Nov 5, 2020 @ 14:38:59.028","0.2805936077395712"
"Nov 5, 2020 @ 14:38:53.948","0.27882937168514005"
"Nov 5, 2020 @ 14:38:48.871","0.278617472700031"
"Nov 5, 2020 @ 14:38:43.804","0.2771030709247029"
"Nov 5, 2020 @ 14:38:38.726","0.2753391955476781"
"Nov 5, 2020 @ 14:38:33.678","0.2753720048484825"
"Nov 5, 2020 @ 14:38:28.609","0.2737706856939377"
"Nov 5, 2020 @ 14:38:23.533","0.2734707482635089"
"Nov 5, 2020 @ 14:38:18.483","0.2725030996443373"
"Nov 5, 2020 @ 14:38:13.446","0.2718249950265138"
"Nov 5, 2020 @ 14:38:08.373","0.2709472315602993"
"Nov 5, 2020 @ 14:38:03.311","0.2699772815642317"
"Nov 5, 2020 @ 14:37:58.238","0.2691960161580669"
"Nov 5, 2020 @ 14:37:53.191","0.26861528941797297"
"Nov 5, 2020 @ 14:37:48.151","0.2676491956460869"
"Nov 5, 2020 @ 14:37:43.069","0.26658064140231036"
"Nov 5, 2020 @ 14:37:38.018","0.2658034740102523"
"Nov 5, 2020 @ 14:37:32.955","0.2650242042905726"
"Nov 5, 2020 @ 14:37:27.907","0.26472585250296904"
"Nov 5, 2020 @ 14:37:22.859","0.26357273861852193"
"Nov 5, 2020 @ 14:37:17.789","0.2620567120693782"
"Nov 5, 2020 @ 14:37:12.719","0.26184527743601665"
"Nov 5, 2020 @ 14:37:07.650","0.2608050281373373"
"Nov 5, 2020 @ 14:37:02.552","0.26068092677824367"
"Nov 5, 2020 @ 14:36:57.417","0.260439247244024"
"Nov 5, 2020 @ 14:36:52.336","0.25981626247672435"
"Nov 5, 2020 @ 14:36:47.263","0.2585377304013739"
"Nov 5, 2020 @ 14:36:42.183","0.2580136825577879"
"Nov 5, 2020 @ 14:36:37.127","0.2578680042009988"
"Nov 5, 2020 @ 14:36:32.050","0.25725072827394546"
"Nov 5, 2020 @ 14:36:26.995","0.25654795907750955"
"Nov 5, 2020 @ 14:36:21.941","0.2561383372935138"
"Nov 5, 2020 @ 14:36:16.898","0.2558155184794498"
"Nov 5, 2020 @ 14:36:11.854","0.2549188636072496"
"Nov 5, 2020 @ 14:36:06.811","0.2541825849589479"
"Nov 5, 2020 @ 14:36:01.722","0.25435184402243705"
"Nov 5, 2020 @ 14:35:56.602","0.25409836393115587"
"Nov 5, 2020 @ 14:35:51.499","0.2538454775837056"
"Nov 5, 2020 @ 14:35:46.406","0.2534952598711317"
